n,method,multiplications,median_time_ns
10,iterative,10,0.0
10,naive_recursive,10,41.0
10,fast_recursive,4,0.0
30,iterative,30,42.0
30,naive_recursive,30,167.0
30,fast_recursive,7,41.0
100,iterative,100,250.0
100,naive_recursive,100,625.0
100,fast_recursive,8,41.0
300,iterative,300,916.0
300,naive_recursive,300,1500.0
300,fast_recursive,11,41.0
1000,iterative,1000,2875.0
1000,naive_recursive,1000,4875.0
1000,fast_recursive,14,42.0
3000,iterative,3000,8750.0
3000,naive_recursive,3000,16000.0
3000,fast_recursive,17,42.0
10000,iterative,10000,29541.0
10000,naive_recursive,10000,53167.0
10000,fast_recursive,17,42.0
